,match_id,date,referee,variable,value,venue,team_id,team_name
142,3597810,2021-10-17 07:00:00,Aydin Uslu,fouls_for,6,H,8414,Odense
143,3597810,2021-10-17 07:00:00,Aydin Uslu,fouls_ag,12,H,8414,Odense
144,3597816,2021-10-25 12:00:00,Michael Tykgaard,fouls_for,6,H,8470,Aalborg BK
145,3597816,2021-10-25 12:00:00,Michael Tykgaard,fouls_ag,15,H,8470,Aalborg BK
146,3597811,2021-10-17 06:00:00,Jens Grabski Maae,fouls_for,9,H,10202,Nordsjælland
147,3597811,2021-10-17 06:00:00,Jens Grabski Maae,fouls_ag,8,H,10202,Nordsjælland
148,3597818,2021-10-24 09:00:00,Morten Krogh,fouls_for,10,H,8410,Randers FC
149,3597818,2021-10-24 09:00:00,Morten Krogh,fouls_ag,15,H,8410,Randers FC
150,3597814,2021-10-24 07:00:00,Peter Kjaersgaard,fouls_for,9,H,8595,Brøndby IF
151,3597814,2021-10-24 07:00:00,Peter Kjaersgaard,fouls_ag,10,H,8595,Brøndby IF
152,3597821,2021-11-01 12:00:00,Mikkel Redder,fouls_for,12,H,8414,Odense
153,3597821,2021-11-01 12:00:00,Mikkel Redder,fouls_ag,10,H,8414,Odense
154,3597822,2021-10-31 07:00:00,Anders Poulsen,fouls_for,8,H,10202,Nordsjælland
155,3597822,2021-10-31 07:00:00,Anders Poulsen,fouls_ag,5,H,10202,Nordsjælland
156,3597824,2021-10-31 07:00:00,Jakob Sundberg,fouls_for,15,H,8410,Randers FC
157,3597824,2021-10-31 07:00:00,Jakob Sundberg,fouls_ag,10,H,8410,Randers FC
158,3597823,2021-10-31 11:00:00,Joergen Daugbjerg Burchardt,fouls_for,15,H,9939,Viborg
159,3597823,2021-10-31 11:00:00,Joergen Daugbjerg Burchardt,fouls_ag,11,H,9939,Viborg
160,3597825,2021-10-31 13:00:00,Jens Grabski Maae,fouls_for,9,H,8487,SønderjyskE
161,3597825,2021-10-31 13:00:00,Jens Grabski Maae,fouls_ag,6,H,8487,SønderjyskE
162,3597819,2021-10-24 07:00:00,Sandi Putros,fouls_for,10,H,8415,Silkeborg
163,3597819,2021-10-24 07:00:00,Sandi Putros,fouls_ag,8,H,8415,Silkeborg
164,3597815,2021-10-24 11:00:00,Jakob Kehlet,fouls_for,13,H,8113,Midtjylland
165,3597815,2021-10-24 11:00:00,Jakob Kehlet,fouls_ag,13,H,8113,Midtjylland
166,3597830,2021-11-05 12:00:00,Peter Kjaersgaard,fouls_for,11,H,9939,Viborg
167,3597830,2021-11-05 12:00:00,Peter Kjaersgaard,fouls_ag,11,H,9939,Viborg
168,3597828,2021-11-07 07:00:00,Jonas Hansen,fouls_for,10,H,8470,Aalborg BK
169,3597828,2021-11-07 07:00:00,Jonas Hansen,fouls_ag,12,H,8470,Aalborg BK
170,3597820,2021-10-31 09:00:00,Aydin Uslu,fouls_for,13,H,8391,FC København
171,3597820,2021-10-31 09:00:00,Aydin Uslu,fouls_ag,10,H,8391,FC København
172,3597827,2021-11-07 09:00:00,Sandi Putros,fouls_for,25,H,8071,AGF Aarhus
173,3597827,2021-11-07 09:00:00,Sandi Putros,fouls_ag,11,H,8071,AGF Aarhus
174,3597834,2021-11-19 12:00:00,Jakob Sundberg,fouls_for,14,H,8414,Odense
175,3597834,2021-11-19 12:00:00,Jakob Sundberg,fouls_ag,21,H,8414,Odense
176,3597875,2021-11-22 12:00:00,Peter Kjaersgaard,fouls_for,10,H,8487,SønderjyskE
177,3597875,2021-11-22 12:00:00,Peter Kjaersgaard,fouls_ag,11,H,8487,SønderjyskE
178,3597835,2021-11-21 07:00:00,Sandi Putros,fouls_for,16,H,10202,Nordsjælland
179,3597835,2021-11-21 07:00:00,Sandi Putros,fouls_ag,10,H,10202,Nordsjælland
180,3597829,2021-11-07 07:00:00,Morten Krogh,fouls_for,15,H,8231,Vejle Boldklub
181,3597829,2021-11-07 07:00:00,Morten Krogh,fouls_ag,16,H,8231,Vejle Boldklub
182,3597831,2021-11-07 13:00:00,Mads-Kristoffer Kristoffersen,fouls_for,5,H,8415,Silkeborg
183,3597831,2021-11-07 13:00:00,Mads-Kristoffer Kristoffersen,fouls_ag,12,H,8415,Silkeborg
184,3597826,2021-11-07 11:00:00,Jakob Kehlet,fouls_for,13,H,8595,Brøndby IF
185,3597826,2021-11-07 11:00:00,Jakob Kehlet,fouls_ag,9,H,8595,Brøndby IF
186,3597874,2021-11-21 07:00:00,Jens Grabski Maae,fouls_for,14,H,8410,Randers FC
187,3597874,2021-11-21 07:00:00,Jens Grabski Maae,fouls_ag,10,H,8410,Randers FC
